name,latitude,longitude,避難対象_洪水,避難対象_崖崩れ、土石流及び地滑り,避難対象_高潮,避難対象_地震,避難対象_津波,避難対象_大規模な火事,避難対象_内水氾濫,避難対象_火山現象,エレベーター有/避難スペースが１階,スロープ等,点字ブロック,だれでもトイレ,その他
羽沢小学校（体育館・校舎）,35.670234,139.538437,0,1,0,0,0,0,0,0,0,1,0,1,
第一中学校（校舎）,35.685264,139.559749,1,1,0,0,0,0,1,0,0,1,0,1,
第二中学校（体育館・校舎）,35.687481,139.543623,1,1,0,0,0,0,1,0,0,1,0,1,
第三中学校（体育館・校舎）,35.691885,139.575687,1,1,0,0,0,0,1,0,1,1,0,1,
第四中学校（体育館・校舎）,35.696454,139.556368,1,1,0,0,0,0,1,0,0,0,0,0,
第五中学校（体育館・校舎）,35.671105,139.577298,1,1,0,0,0,0,1,0,0,1,0,1,
第六中学校（体育館・校舎）,35.680812,139.57567,1,1,0,0,0,0,1,0,0,0,0,1,
第七中学校（体育館・校舎）,35.678039,139.532311,1,1,0,0,0,0,1,0,0,1,0,1,
大沢コミュニティ・センター,35.668929,139.536998,0,1,0,0,0,0,0,0,1,1,1,1,
牟礼コミュニティ・センター,35.684946,139.574839,1,1,0,0,0,0,1,0,1,1,0,1,
井口コミュニティ・センター,35.693509,139.548523,1,1,0,0,0,0,1,0,1,1,0,1,
井の頭コミュニティ・センター,35.694072,139.583417,1,1,0,0,0,0,1,0,1,1,0,1,
新川中原コミュニティ・センター,35.668896,139.575887,1,1,0,0,0,0,1,0,1,1,1,1,
連雀コミュニティ・センター,35.69259,139.561238,0,1,0,0,0,0,0,0,1,1,1,1,
駅前コミュニティ・センター,35.699479,139.563013,1,1,0,0,0,0,1,0,1,1,1,1,
三鷹中等教育学校,35.679657,139.56689,0,1,0,0,0,0,0,0,0,1,0,1,階段昇降機
国際基督教大学,35.687567,139.529534,1,1,0,0,0,0,1,0,1,1,0,1,
ルーテル学院大学,35.688414,139.535567,0,1,0,0,0,0,0,0,1,1,1,1,
明星学園小中学校（体育館）,35.695109,139.577271,1,1,0,0,0,0,1,0,1,1,0,1,
都立青梅総合高校（体育館、グラウンド）,35.78843692,139.2692044,1,1,0,1,0,1,1,0,1,1,0,1,
永山公園グラウンド（グラウンド）,35.79209463,139.259926,0,0,0,1,0,1,0,0,0,0,0,0,
市立第一小学校（グラウンド）,35.7914865,139.2584427,0,0,0,1,0,1,0,0,0,0,0,0,
天ヶ瀬体育館（体育館）,35.7891617,139.2506323,1,1,0,1,0,1,1,0,0,1,0,0,
天ヶ瀬運動広場（グラウンド）,35.78868,139.250646,0,0,0,1,0,1,0,0,0,0,0,0,
市立第一中学校（校舎・体育館・グラウンド）,35.78934917,139.2450785,1,1,0,1,0,1,1,0,1,0,0,0,
日向和田２丁目児童遊園（グラウンド）,35.785152,139.23557,0,0,0,1,0,1,0,0,0,0,0,0,
市立第二小学校（校舎・体育館・グラウンド）,35.7808687,139.2706943,1,1,0,1,0,1,1,0,1,1,0,1,
長淵市民センター（庁舎・体育館・駐車場）,35.7803659,139.2685695,1,1,0,1,0,1,1,0,0,1,0,1,
市立友田小学校（校舎・グラウンド）,35.7741421,139.2847236,1,1,0,1,0,1,1,0,1,0,0,0,
市立第二中学校（校舎・体育館・グラウンド）,35.7856738,139.2744216,1,1,0,1,0,1,1,0,0,0,0,0,
市立吹上中学校（校舎・体育館・グラウンド）,35.8010055,139.2828009,1,1,0,1,0,1,1,0,0,0,0,0,
市立吹上小学校（校舎・体育館・グラウンド）,35.7971004,139.2825816,1,1,0,1,0,1,1,0,1,0,0,0,
大門市民センター（庁舎・体育館・駐車場）,35.7967646,139.2912057,1,1,0,1,0,1,1,0,0,1,0,1,
市立第三中学校（校舎・体育館・グラウンド）,35.7973285,139.2922556,1,1,0,1,0,1,1,0,1,1,0,0,
市立第三小学校（校舎・体育館・グラウンド）,35.7984673,139.2937554,1,1,0,1,0,1,1,0,1,0,0,0,
東原公園球技場（グラウンド）,35.7937014,139.3017771,0,0,0,1,0,1,0,0,0,0,0,0,
畑中保育園（グラウンド）,35.7832015,139.2410163,0,0,0,1,0,1,0,0,0,0,0,0,
和田町運動広場（グラウンド）,35.77982017,139.2293669,0,0,0,1,0,1,0,0,0,0,0,0,
梅郷市民センター（庁舎・体育館・駐車場）,35.7865819,139.224326,1,1,0,1,0,1,1,0,0,1,0,0,
市立第五小学校（校舎・体育館・グラウンド）,35.7874623,139.2240788,1,1,0,1,0,1,1,0,1,0,0,0,
市立西中学校（校舎・体育館・グラウンド）,35.7946641,139.2198738,1,1,0,1,0,1,1,0,1,0,0,0,
柚木町運動広場（グラウンド）,35.799755,139.2117861,0,0,0,1,0,1,0,0,0,0,0,0,
青梅柚木苑地駐車場（駐車場）,35.8030156,139.2075395,0,0,0,1,0,1,0,0,0,0,0,0,
市立第六小学校（校舎・体育館・グラウンド）,35.8015936,139.2168605,1,1,0,1,0,1,1,0,1,0,0,0,
二俣尾５丁目第２運動広場（グラウンド）,35.813401,139.207838,0,0,0,1,0,1,0,0,0,0,0,0,
沢井市民センター（多目的室）,35.80475,139.196734,1,1,0,0,0,0,1,0,1,1,0,1,スロープ・身障者対応トイレ
沢井市民センター運動広場（グラウンド）,35.804606,139.195579,0,0,0,1,0,1,0,0,0,0,0,0,
御岳本町児童遊園（グラウンド）,35.800647,139.178055,0,0,0,1,0,1,0,0,0,0,0,0,
御岳本町運動広場（グラウンド）,35.80185493,139.1789292,0,0,0,1,0,1,0,0,0,0,0,0,
御岳運動広場（グラウンド）,35.7993937,139.1812699,0,0,0,1,0,1,0,0,0,0,0,0,
御岳山ふれあいセンター（体育館・グラウンド）,35.7869501,139.1507224,1,1,0,1,0,1,1,0,1,1,0,1,
